industrial-classification-correlation	source	target	start-date	end-date
419	industrial-classification-2003:29.12/2	industrial-classification-2007:28.12		
420	industrial-classification-2003:29.13	industrial-classification-2007:28.12		
421	industrial-classification-2003:29.14	industrial-classification-2007:28.12		
422	industrial-classification-2003:29.12/1	industrial-classification-2007:28.13/1		
423	industrial-classification-2003:29.12/2	industrial-classification-2007:28.13/2		
424	industrial-classification-2003:29.13	industrial-classification-2007:28.14		
425	industrial-classification-2003:29.14	industrial-classification-2007:28.15		
426	industrial-classification-2003:29.21	industrial-classification-2007:28.21		
427	industrial-classification-2003:29.71	industrial-classification-2007:28.21		
428	industrial-classification-2003:29.72	industrial-classification-2007:28.21		
429	industrial-classification-2003:29.22	industrial-classification-2007:28.22		
430	industrial-classification-2003:35.50	industrial-classification-2007:28.22		
431	industrial-classification-2003:30.01	industrial-classification-2007:28.23		
432	industrial-classification-2003:32.30	industrial-classification-2007:28.23		
433	industrial-classification-2003:36.12	industrial-classification-2007:28.23		
434	industrial-classification-2003:29.41	industrial-classification-2007:28.24		
435	industrial-classification-2003:29.23	industrial-classification-2007:28.25		
